CRASH_DATE,CRASH_TIME,BOROUGH,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,VEHICLE_TYPE
2020-05-10,13:15:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 1
2020-03-18,15:41:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-06-30,11:15:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 15
2020-07-22,10:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-08-20,22:34:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-08-26,8:50:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 4
2020-02-13,0:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-05-01,7:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-05,11:10:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 4
2020-07-24,10:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-08-09,20:16:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-01-06,8:00:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-05-17,14:32:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-02-26,13:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-02-14,0:50:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 7
2020-04-18,0:20:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-02,7:50:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 11
2020-05-18,20:45:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-07-15,18:05:00,BOROUGH 1,1,0,0,0,VEHOCLE TYPE 4
2020-06-09,13:45:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-03-20,16:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-06-26,15:50:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-09,12:28:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 11
2020-08-13,16:10:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 1
2020-01-21,11:26:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 4
2020-01-03,13:00:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 10
2020-06-18,22:53:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 1
2020-02-21,16:27:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 4
2020-04-20,20:03:00,BOROUGH 3,1,0,1,0,VEHOCLE TYPE 1
2020-01-15,10:50:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 4
2020-03-06,15:10:00,BOROUGH 1,2,0,2,0,VEHOCLE TYPE 1
2020-07-21,20:07:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-05-29,12:00:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 1
2020-07-16,9:20:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-08-28,20:54:00,BOROUGH 4,1,0,1,0,VEHOCLE TYPE 1
2020-05-05,5:25:00,BOROUGH 3,1,0,0,0,VEHOCLE TYPE 4
2020-05-08,8:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 7
2020-03-02,12:10:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 12
2020-05-20,21:08:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-09,8:00:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-06-12,9:33:00,BOROUGH 4,1,0,0,0,VEHOCLE TYPE 1
2020-08-06,12:53:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 8
2020-03-17,20:00:00,BOROUGH 2,1,0,0,0,VEHOCLE TYPE 4
2020-01-28,14:25:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-04-06,16:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 3
2020-07-10,7:10:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-05-18,15:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-08-06,7:18:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-07-29,17:25:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-06-08,14:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-08-09,6:44:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 4
2020-07-24,15:15:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 1
2020-03-06,19:30:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-01-22,7:10:00,BOROUGH 2,0,0,0,0,VEHOCLE TYPE 1
2020-08-07,2:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
2020-05-30,17:21:00,BOROUGH 1,1,0,1,0,VEHOCLE TYPE 4
2020-07-16,16:30:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 16
2020-01-28,20:05:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-03-25,20:55:00,BOROUGH 2,1,0,1,0,VEHOCLE TYPE 1
2020-02-18,9:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 7
2020-01-12,3:00:00,BOROUGH 4,0,0,0,0,VEHOCLE TYPE 1
2020-02-01,14:00:00,BOROUGH 3,0,0,0,0,VEHOCLE TYPE 4
2020-02-07,16:15:00,BOROUGH 5,0,0,0,0,VEHOCLE TYPE 1
2020-07-28,14:00:00,BOROUGH 1,0,0,0,0,VEHOCLE TYPE 1
